column 1,Characterization,Product,Pathways of gene,GO terms (biological process),GO terms (cellular component),GO terms (molecular function)
cyoA,WELL-CHARACTERIZED,cytochrome <i>bo</i><sub>3</sub> subunit 2,proline to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer II // NADH to cytochrome <i>bo</i> oxidase electron transfer I // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer,ATP synthesis coupled electron transport // electron transport chain // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain,membrane // respirasome // plasma membrane // cytochrome o ubiquinol oxidase complex,"copper ion binding // cytochrome-c oxidase activity // oxidoreductase activity // oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor // proton transmembrane transporter activity // cytochrome bo3 ubiquinol oxidase activity // electron transfer activity // oxidoreduction-driven active transmembrane transporter activity"
deaD,WELL-CHARACTERIZED,ATP-dependent RNA helicase DeaD,,response to cold // mRNA stabilization // response to radiation // positive regulation of translation // ribosomal large subunit assembly // RNA catabolic process // cellular response to cold,ribosome // cytoplasm // cytosol,"ATP hydrolysis activity // hydrolase activity, acting on acid anhydrides // hydrolase activity // helicase activity // ATP binding // RNA binding // protein homodimerization activity // RNA strand annealing activity // protein binding // RNA helicase activity"
def,WELL-CHARACTERIZED,peptide deformylase,,translation // co-translational protein modification // N-terminal protein amino acid modification,cytosol,metal ion binding // hydrolase activity // zinc ion binding // ribosome binding // ferrous iron binding // protein binding // peptide deformylase activity
dgcQ,WELL-CHARACTERIZED,diguanylate cyclase DgcQ,,cell adhesion involved in single-species biofilm formation // cellulose biosynthetic process // negative regulation of bacterial-type flagellum-dependent cell motility,plasma membrane,protein binding // transferase activity // metal ion binding // GTP binding // diguanylate cyclase activity
dgcT,WELL-CHARACTERIZED,probable diguanylate cyclase DgcT,,single-species submerged biofilm formation,plasma membrane,transferase activity // metal ion binding // GTP binding // diguanylate cyclase activity
dicA,WELL-CHARACTERIZED,DNA-binding transcriptional dual regulator DicA,,cell division // DNA-templated transcription,cytosol,DNA binding
dinQ,PARTIAL,membrane toxin DinQ,,DNA damage response,plasma membrane // membrane,
dld,WELL-CHARACTERIZED,quinone-dependent D-lactate dehydrogenase,superpathway of methylglyoxal degradation // methylglyoxal degradation I // D-lactate to cytochrome <i>bo</i> oxidase electron transfer,lactate oxidation // transmembrane transport // respiratory electron transport chain // anaerobic respiration // aerobic respiration,extrinsic component of cytoplasmic side of plasma membrane // cytoplasmic side of plasma membrane // plasma membrane,"D-lactate dehydrogenase (quinone) activity // quinone binding // FAD binding // oxidoreductase activity // oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor // flavin adenine dinucleotide binding // electron transfer activity"
dnaB,WELL-CHARACTERIZED,replicative DNA helicase,,"DNA duplex unwinding // replication fork processing // DNA replication initiation // DNA replication, synthesis of primer // response to ionizing radiation // DNA unwinding involved in DNA replication // DNA replication",DnaB-DnaC complex // DnaB-DnaG complex // DnaB-DnaC-DnaT-PriA-PriB complex // DnaB-DnaC-DnaT-PriA-PriC complex // DnaB-DnaC-Rep-PriC complex // replisome // DNA helicase complex // primosome complex // cytosol,isomerase activity // 5'-3' DNA helicase activity // ATP hydrolysis activity // hydrolase activity // identical protein binding // protein binding // ATP binding // DNA binding // helicase activity // DNA helicase activity
dnaE,WELL-CHARACTERIZED,DNA polymerase III subunit &alpha;,,lagging strand elongation // leading strand elongation // DNA-templated DNA replication // DNA biosynthetic process // DNA replication,"DNA polymerase III complex // replisome // cytoplasm // cytosol // DNA polymerase III, core complex",3'-5' exonuclease activity // DNA binding // nucleic acid binding // protein binding // DNA-directed DNA polymerase activity
dnaG,WELL-CHARACTERIZED,DNA primase,,"replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of primer",DNA-directed RNA polymerase complex // DnaB-DnaG complex // replisome // primosome complex // cytoplasm // cytosol,nucleotidyltransferase activity // protein binding // metal ion binding // DNA binding // zinc ion binding // DNA primase activity
dnaK,WELL-CHARACTERIZED,chaperone protein DnaK,,protein refolding // protein-containing complex assembly // negative regulation of DNA-templated transcription // DNA replication // stress response to copper ion // protein folding // chaperone cofactor-dependent protein refolding // cellular response to unfolded protein // protein unfolding // response to heat,inclusion body // protein-containing complex // plasma membrane // membrane // cytoplasm // cytosol,heat shock protein binding // ATP hydrolysis activity // ATP-dependent protein folding chaperone // zinc ion binding // protein-folding chaperone binding // sigma factor antagonist activity // ADP binding // protein folding chaperone // unfolded protein binding // ATP binding // protein binding
elaB,PARTIAL,tail-anchored inner membrane protein ElaB,,DNA damage response // cellular response to stress,plasma membrane // cytosol,ribosome binding // protein binding
entF,WELL-CHARACTERIZED,seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme,superpathway of chorismate metabolism // acyl carrier protein metabolism // enterobactin biosynthesis,secondary metabolite biosynthetic process // biosynthetic process // amino acid activation for nonribosomal peptide biosynthetic process // enterobactin biosynthetic process,cytoplasm // plasma membrane // cytosol // enterobactin synthetase complex,"2,3-dihydroxybenzoate-serine ligase activity // nucleotidyltransferase activity // ATP binding // ligase activity // transferase activity // catalytic activity // phosphopantetheine binding"
eptB,WELL-CHARACTERIZED,phosphoethanolamine transferase EptB,,lipopolysaccharide core region biosynthetic process // lipopolysaccharide biosynthetic process // lipid A biosynthetic process,membrane // plasma membrane,"transferase activity, transferring phosphorus-containing groups // transferase activity // phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase activity"
evgS,WELL-CHARACTERIZED,EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS,EvgSA Two-Component Signal Transduction System,signal transduction // phosphorelay signal transduction system // peptidyl-histidine phosphorylation // response to acidic pH // response to metal ion // protein autophosphorylation,outer membrane-bounded periplasmic space // cytosol // plasma membrane,kinase activity // protein histidine kinase activity // ATP binding // phosphorelay sensor kinase activity
fabF,WELL-CHARACTERIZED,3-oxoacyl-[acyl carrier protein] synthase 2,palmitate biosynthesis II (type II fatty acid synthase) // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // fatty acid elongation -- saturated // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // <i>cis</i>-vaccenate biosynthesis // superpathway of fatty acid biosynthesis I (E. coli) // superpathway of fatty acid biosynthesis initiation // fatty acid biosynthesis initiation II // fatty acid biosynthesis initiation III // biotin biosynthesis I // 8-amino-7-oxononanoate biosynthesis I,"small molecule metabolic process // fatty acid biosynthetic process // response to cold // fatty acid elongation, saturated fatty acid // monounsaturated fatty acid biosynthetic process",cytosol,"acyltransferase activity, transferring groups other than amino-acyl groups // acyltransferase activity // protein binding // protein homodimerization activity // 3-oxoacyl-[acyl-carrier-protein] synthase activity"
fabH,WELL-CHARACTERIZED,3-oxoacyl-[acyl carrier protein] synthase 3,fatty acid biosynthesis initiation (type II) // superpathway of fatty acid biosynthesis I (E. coli) // superpathway of fatty acid biosynthesis initiation // fatty acid biosynthesis initiation II,small molecule metabolic process // fatty acid metabolic process // fatty acid biosynthetic process,cytoplasm // cytosol,acyltransferase activity // 3-oxoacyl-[acyl-carrier-protein] synthase activity // protein homodimerization activity // beta-ketoacyl-acyl-carrier-protein synthase III activity
ffh,WELL-CHARACTERIZED,signal recognition particle protein component,,SRP-dependent cotranslational protein targeting to membrane // protein targeting to membrane,ribonucleoprotein complex // cytoplasm // signal recognition particle // cytosol,hydrolase activity // ATP hydrolysis activity // protein binding // 7S RNA binding // RNA binding // GTPase activity // GTP binding
fhuA,WELL-CHARACTERIZED,ferrichrome outer membrane transporter/phage receptor,,iron ion transport // intracellular iron ion homeostasis // siderophore-dependent iron import into cell // siderophore transport // siderophore transmembrane transport,membrane // cell outer membrane // transmembrane transporter complex,siderophore-iron transmembrane transporter activity // iron ion binding // signaling receptor activity // siderophore uptake transmembrane transporter activity // protein binding // protein domain specific binding // virion binding // toxic substance binding
fhuF,WELL-CHARACTERIZED,ferric-siderophore reductase FhuF,,siderophore-dependent iron import into cell // reductive iron assimilation,plasma membrane // cytoplasm // cytosol,"catalytic activity // oxidoreductase activity // ferric-chelate reductase activity // oxidoreductase activity, acting on metal ions // metal ion binding // 2 iron, 2 sulfur cluster binding"
fliC,WELL-CHARACTERIZED,flagellar filament structural protein,,,extracellular region // bacterial-type flagellum,protein binding // structural molecule activity
fliD,PARTIAL,flagellar filament capping protein,,cell adhesion // bacterial-type flagellum-dependent cell motility,bacterial-type flagellum filament cap // bacterial-type flagellum hook // extracellular region // bacterial-type flagellum,protein binding
folX,WELL-CHARACTERIZED,dihydroneopterin triphosphate 2'-epimerase,tetrahydromonapterin biosynthesis,pteridine-containing compound biosynthetic process // folic acid-containing compound metabolic process,cytoplasm // cytosol,identical protein binding // isomerase activity // dihydroneopterin aldolase activity // dihydroneopterin triphosphate 2'-epimerase activity
ftnB,PARTIAL,putative ferritin-like protein,,intracellular sequestering of iron ion,cytoplasm // cytosol,ferrous iron binding // ferroxidase activity // ferric iron binding
gabP,WELL-CHARACTERIZED,4-aminobutanoate:H<sup>+</sup> symporter,,transmembrane transport // gamma-aminobutyric acid catabolic process // DNA damage response // amino acid transport // cellular response to nitrogen starvation // response to carbon starvation // gamma-aminobutyric acid transport,membrane // plasma membrane,secondary active transmembrane transporter activity // gamma-aminobutyric acid transmembrane transporter activity
gadX,WELL-CHARACTERIZED,DNA-binding transcriptional dual regulator GadX,,DNA damage response // regulation of DNA-templated transcription // positive regulation of DNA-templated transcription // DNA-templated transcription,cytosol,transcription cis-regulatory region binding // sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding // cis-regulatory region sequence-specific DNA binding // DNA-binding transcription activator activity // protein homodimerization activity
gatY,WELL-CHARACTERIZED,"tagatose-1,6-bisphosphate aldolase 2",superpathway of hexitol degradation (bacteria) // galactitol degradation,peptidyl-histidine phosphorylation // D-tagatose 6-phosphate catabolic process // galactitol metabolic process // galactitol catabolic process,catalytic complex // cytosol,zinc ion binding // metal ion binding // lyase activity // protein binding // tagatose-bisphosphate aldolase activity
