column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
abrB,putative regulator,regulation of gene expression,,
zupT,divalent metal ion transporter ZupT,iron ion transport // zinc ion transport // cobalt ion transport // zinc ion import across plasma membrane // iron ion import across plasma membrane // zinc ion transmembrane transport // transmembrane transport // metal ion transport,,
ansP,L-asparagine transporter,transmembrane transport // amino acid transport,,
wbbK,putative glycosyltransferase WbbK,lipopolysaccharide biosynthetic process,,
wzzB,O-antigen co-polymerase,lipopolysaccharide biosynthetic process,,
murD,UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,cell wall organization // biosynthetic process // cell division // regulation of cell shape // peptidoglycan biosynthetic process,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing),LexA DNA-binding-site 3 bases downstream of ftsLp2 // MraZ DNA-binding-site 18 bases downstream of mraZp // MraZ DNA-binding-site 8 bases downstream of mraZp // MraZ DNA-binding-site 3 bases upstream of mraZp // PdhR DNA-binding-site 42 bases upstream of mraZp
rodZ,cytoskeleton protein RodZ,peptidoglycan biosynthetic process // FtsZ-dependent cytokinesis // regulation of cell shape,,
mutL,methyl-directed mismatch repair system,"nucleotide-excision repair, DNA duplex unwinding // regulation of DNA recombination // DNA repair // mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication // mismatch repair",,
yibX,protein YibX-S,,,
def,peptide deformylase,translation // co-translational protein modification // N-terminal protein amino acid modification,,
lspA,lipoprotein signal peptidase,proteolysis // lipoprotein biosynthetic process via signal peptide cleavage,lipoprotein posttranslational modification (Gram-negative bacteria),
cbrC,PF03691 family colicin E2 tolerance protein CbrC,bacteriocin immunity,,
sgcX,KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain,proteolysis,,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)
abpA,CP4-57 prophage; anti-bacteriophage protein,defense response to virus,,
intZ,CPZ-55 prophage; putative phage integrase IntZ,viral genome integration into host DNA // establishment of integrated proviral latency // symbiont entry into host cell // DNA integration // DNA recombination,,
rbsB,ribose ABC transporter,chemotaxis // D-ribose transmembrane transport // positive chemotaxis,,RbsR DNA-binding-site 8.5 bases downstream of rbsDp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rbsDp
rpe,ribulose-phosphate 3-epimerase,"pentose-phosphate shunt // carbohydrate metabolic process // pentose catabolic process // pentose-phosphate shunt, non-oxidative branch",pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch) I,
tar,chemotaxis signaling complex core unit - aspartate sensing,positive regulation of post-translational protein modification // cellular response to amino acid stimulus // regulation of chemotaxis // detection of chemical stimulus // signal complex assembly // signal transduction // protein homooligomerization // chemotaxis,,Fnr DNA-binding-site regulating tarp
rnlA,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system // RnlA-RnlB toxin-antitoxin complex",regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // defense response to virus // mRNA catabolic process,,IscR DNA-binding-site 29.5 bases upstream of rnlAp2
hyfF,hydrogenase 4,anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // DNA damage response,,Fnr DNA-binding-site 105.5 bases upstream of hyfAp // HyfR DNA-binding-site 129.5 bases upstream of hyfAp // FhlA-formate DNA-binding-site 130 bases upstream of hyfAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of hyfAp
rcsA,RcsAB DNA-binding transcriptional dual regulator,positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // regulation of bacterial-type flagellum-dependent cell motility // regulation of capsule organization // regulation of DNA-templated transcription // DNA-templated transcription,,H-NS DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 125 bases upstream of rcsAp // GadE DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 172 bases upstream of rcsAp
ychO,putative invasin YchO,,,Fnr DNA-binding-site regulating ychOp
pgpB,phosphatidylglycerophosphatase B,phospholipid catabolic process // phosphatidylglycerol biosynthetic process // peptidoglycan biosynthetic process // glycerophospholipid biosynthetic process,"superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I // polyisoprenoid biosynthesis (<i>E. coli</i>) // di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",
gyrA,DNA gyrase,chromosome organization // response to xenobiotic stimulus // negative regulation of DNA-templated DNA replication // DNA-templated DNA replication // DNA topological change // response to antibiotic // DNA-templated transcription,,Fis DNA-binding-site 42.5 bases upstream of gyrAp // CspA DNA-binding-site 108 bases upstream of gyrAp // CspA DNA-binding-site 88 bases upstream of gyrAp // CspA DNA-binding-site 60 bases upstream of gyrAp
alaA,glutamate&mdash;pyruvate aminotransferase AlaA,amino acid biosynthetic process // biosynthetic process // alanine biosynthetic process // D-alanine biosynthetic process // DNA damage response // response to antibiotic // L-alanine biosynthetic process from pyruvate,superpathway of L-alanine biosynthesis // L-alanine biosynthesis II,
yciQ,DUF2207 domain-containing protein YciQ,,,
ppdC,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,,,
ynaE,Rac prophage; uncharacterized protein YnaE,response to cold,,GlaR DNA-binding-site regulating ynaE
oppA,oligopeptide ABC transporter,oligopeptide import across plasma membrane // transmembrane transport // peptide transport // protein transport // chaperone-mediated protein folding // response to heat // oligopeptide transport,,DNA-binding transcriptional dual regulator Fur DNA-binding-site 136 bases upstream of oppAp // Lrp DNA-binding-site 1818 bases upstream of oppAp // ArcA-Pasp54 DNA-binding-site regulating oppAp
