column 1,Characterization,Product,Pathways of gene,GO terms (biological process),GO terms (cellular component),GO terms (molecular function),References,Regulation - genes directly or indirectly regulated by gene,Regulation - genes that directly or indirectly regulate gene
abpA,PARTIAL,CP4-57 prophage; anti-bacteriophage protein,,defense response to virus,cytosol,nuclease activity // protein binding," Sasaki T, Takita S, Fujishiro T, Shintani Y, Nojiri S, Yasui R, Yonesaki T, Otsuka Y (2023). ""Phage single-stranded DNA-binding protein or host DNA damage triggers the activation of the AbpAB phage defense system."" mSphere 8(6);e0037223. PMID: 37882551 //  Yasui R, Washizaki A, Furihata Y, Yonesaki T, Otsuka Y (2014). ""AbpA and AbpB provide anti-phage activity in Escherichia coli."" Genes Genet Syst 89(2);51-60. PMID: 25224971 //  Paradis-Bleau C, Kritikos G, Orlova K, Typas A, Bernhardt TG (2014). ""A genome-wide screen for bacterial envelope biogenesis mutants identifies a novel factor involved in cell wall precursor metabolism."" PLoS Genet 10(1);e1004056. PMID: 24391520 //  Zhang D, de Souza RF, Anantharaman V, Iyer LM, Aravind L (2012). ""Polymorphic toxin systems: Comprehensive characterization of trafficking modes, processing, mechanisms of action, immunity and ecology using comparative genomics."" Biol Direct 7;18. PMID: 22731697 //  Al Mamun AA, Lombardo MJ, Shee C, Lisewski AM, Gonzalez C, Lin D, Nehring RB, Saint-Ruf C, Gibson JL, Frisch RL, Lichtarge O, Hastings PJ, Rosenberg SM (2012). ""Identity and function of a large gene network underlying mutagenic repair of DNA breaks."" Science 338(6112);1344-8. PMID: 23224554 //  Diaz-Mejia JJ, Babu M, Emili A (2009). ""Computational and experimental approaches to chart the Escherichia coli cell-envelope-associated proteome and interactome."" FEMS Microbiol Rev 33(1);66-97. PMID: 19054114 //  GOA, DDB, FB, MGI, ZFIN (2001). ""Gene Ontology annotation through association of InterPro records with GO terms."" //  UniProt-GOA (2012). ""Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping, accompanied by conservative changes to GO terms applied by UniProt.""",,argP // dnaA // cytR // glnG // glrR // cyaR // dsrA // rutR // rstA // mqsA // btsR // rydC // rybB // mlrA // rcdA // bolA // csgD // sutR // asflhD // flhD // racR // ydaT // rcsA // hdfR // matA // stpA // bglJ // uhpA // uvrY // uhpU // lrhA // slyA // leuO // yjjQ // oxyS // basR // qseB // argR // mcaS // flhC // fliA // fliZ // torR // ydeO // evgA // arrS // gadE // alpA // phoB // gadW // lldR // rcsB // csrA // deaD // sdiA // gadY // sgrR // sgrS // adiY // gadX // zraR // ydiP // cspA // hns // hupA // hupB // fnrS // marR // rob // rpsA // fis // marA // micF // cpxR // rprA // ryhB // micA // phoP // mgrR // ptrR // omrA // omrB // ompR // acrR // soxR // soxS // glaR // gcvA // gcvB // oxyR // fur // rseX // nsrR // ihfA // ihfB // fnr // arcA // arcZ // rpoS // rpoE // rpoH // cra // crp // dksA // lexA // rpoD // lrp // rpoN // nac
abrB,PARTIAL,putative regulator,,regulation of gene expression,membrane // plasma membrane,," Daley DO, Rapp M, Granseth E, Melen K, Drew D, von Heijne G (2005). ""Global topology analysis of the Escherichia coli inner membrane proteome."" Science 308(5726);1321-3. PMID: 15919996 //  Volkert MR, Hajec LI, Matijasevic Z, Fang FC, Prince R (1994). ""Induction of the Escherichia coli aidB gene under oxygen-limiting conditions requires a functional rpoS (katF) gene."" J Bacteriol 176(24);7638-45. PMID: 8002588 //  Diaz-Mejia JJ, Babu M, Emili A (2009). ""Computational and experimental approaches to chart the Escherichia coli cell-envelope-associated proteome and interactome."" FEMS Microbiol Rev 33(1);66-97. PMID: 19054114 //  UniProt-GOA (2012). ""Gene Ontology annotation based on UniProtKB/Swiss-Prot Subcellular Location vocabulary mapping, accompanied by conservative changes to GO terms applied by UniProt."" //  GOA, DDB, FB, MGI, ZFIN (2001). ""Gene Ontology annotation through association of InterPro records with GO terms."" //  UniProt-GOA (2012). ""Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping, accompanied by conservative changes to GO terms applied by UniProt.""",,
acnB,WELL-CHARACTERIZED,AcnB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I","glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle",cytosol,"RNA binding // lyase activity // metal ion binding // mRNA 3'-UTR binding // mRNA binding // 4 iron, 4 sulfur cluster binding // protein binding // aconitate hydratase activity // 2-methylisocitrate dehydratase activity"," Mendoza-Vargas A, Olvera L, Olvera M, Grande R, Vega-Alvarado L, Taboada B, Jimenez-Jacinto V, Salgado H, Juarez K, Contreras-Moreira B, Huerta AM, Collado-Vides J, Morett E (2009). ""Genome-wide identification of transcription start sites, promoters and transcription factor binding sites in E. coli."" PLoS One 4(10);e7526. PMID: 19838305 //  Federowicz S, Kim D, Ebrahim A, Lerman J, Nagarajan H, Cho BK, Zengler K, Palsson B (2014). ""Determining the control circuitry of redox metabolism at the genome-scale."" PLoS Genet 10(4);e1004264. PMID: 24699140 //  Brock M, Maerker C, Schutz A, Volker U, Buckel W (2002). ""Oxidation of propionate to pyruvate in Escherichia coli. Involvement of methylcitrate dehydratase and aconitase."" Eur J Biochem 269(24);6184-94. PMID: 12473114 //  Stefanopoulou M, Kokoschka M, Sheldrick WS, Wolters DA (2011). ""Cell response of Escherichia coli to cisplatin-induced stress."" Proteomics 11(21);4174-88. PMID: 21972224 //  Tsuchiya D, Shimizu N, Tomita M (2008). ""Versatile architecture of a bacterial aconitase B and its catalytic performance in the sequential reaction coupled with isocitrate dehydrogenase."" Biochim Biophys Acta 1784(11);1847-56. PMID: 18640291 //  Liu F, Han P, Li N, Zhang Y (2023). ""Ahp deficiency-induced redox imbalance leads to metabolic alterations in E.coli."" Redox Biol 67;102888. PMID: 37725887 //  Tang Y, Guest JR, Artymiuk PJ, Green J (2005). ""Switching aconitase B between catalytic and regulatory modes involves iron-dependent dimer formation."" Mol Microbiol 56(5);1149-58. PMID: 15882410 //  Kiley PJ, Beinert H (2003). ""The role of Fe-S proteins in sensing and regulation in bacteria."" Curr Opin Microbiol 6(2);181-5. PMID: 12732309 //  Benjamin JA, Masse E (2014). ""The iron-sensing aconitase B binds its own mRNA to prevent sRNA-induced mRNA cleavage."" Nucleic Acids Res 42(15);10023-36. PMID: 25092924 //  Klein T, Funke F, Rossbach O, Lehmann G, Vockenhuber M, Medenbach J, Suess B, Meister G, Babinger P (2023). ""Investigating the Prevalence of RNA-Binding Metabolic Enzymes in  E. coli."" Int J Mol Sci 24(14). PMID: 37511294 //  Tan G, Lu J, Bitoun JP, Huang H, Ding H (2009). ""IscA/SufA paralogues are required for the [4Fe-4S] cluster assembly in enzymes of multiple physiological pathways in Escherichia coli under aerobic growth conditions."" Biochem J 420(3);463-72. PMID: 19309314 //  Kumar JK, Tabor S, Richardson CC (2004). ""Proteomic analysis of thioredoxin-targeted proteins in Escherichia coli."" Proc Natl Acad Sci U S A 101(11);3759-64. PMID: 15004283 //  Maciag M, Nowicki D, Szalewska-Palasz A, Wegrzyn G (2012). ""Central carbon metabolism influences fidelity of DNA replication in Escherichia coli."" Mutat Res 731(1-2);99-106. PMID: 22198407 //  Tang Y, Quail MA, Artymiuk PJ, Guest JR, Green J (2002). ""Escherichia coli aconitases and oxidative stress: post-transcriptional regulation of sodA expression."" Microbiology 148(Pt 4);1027-37. PMID: 11932448 //  Tang Y, Guest JR (1999). ""Direct evidence for mRNA binding and post-transcriptional regulation by Escherichia coli aconitases."" Microbiology 145 ( Pt 11);3069-79. PMID: 10589714 //  Shao X, Zhang W, Umar MI, Wong HY, Seng Z, Xie Y, Zhang Y, Yang L, Kwok CK, Deng X (2020). ""RNA G-Quadruplex Structures Mediate Gene Regulation in Bacteria."" mBio 11(1). PMID: 31964733 //  Calderon IL, Elias AO, Fuentes EL, Pradenas GA, Castro ME, Arenas FA, Perez JM, Vasquez CC (2009). ""Tellurite-mediated disabling of [4Fe-4S] clusters of Escherichia coli dehydratases."" Microbiology 155(Pt 6);1840-6. PMID: 19383690 //  Cunningham L, Gruer MJ, Guest JR (1997). ""Transcriptional regulation of the aconitase genes (acnA and acnB) of Escherichia coli."" Microbiology 143 ( Pt 12);3795-805. PMID: 9421904 //  Huerta AM, Collado-Vides J (2003). ""Sigma70 promoters in Escherichia coli: specific transcription in dense regions of overlapping promoter-like signals."" J Mol Biol 333(2);261-78. PMID: 14529615 //  Trotter EW, Rolfe MD, Hounslow AM, Craven CJ, Williamson MP, Sanguinetti G, Poole RK, Green J (2011). ""Reprogramming of Escherichia coli K-12 metabolism during the initial phase of transition from an anaerobic to a micro-aerobic environment."" PLoS One 6(9);e25501. PMID: 21980479 //  Lopez-Campistrous A, Semchuk P, Burke L, Palmer-Stone T, Brokx SJ, Broderick G, Bottorff D, Bolch S, Weiner JH, Ellison MJ (2005). ""Localization, annotation, and comparison of the Escherichia coli K-12 proteome under two states of growth."" Mol Cell Proteomics 4(8);1205-9. PMID: 15911532 //  Bradbury AJ, Gruer MJ, Rudd KE, Guest JR (1996). ""The second aconitase (AcnB) of Escherichia coli."" Microbiology 142 ( Pt 2);389-400. PMID: 8932712 //  Kim CW, Han KS, Ryu KS, Kim BH, Kim KH, Choi SI, Seong BL (2007). ""N-terminal domains of native multidomain proteins have the potential to assist de novo folding of their downstream domains in vivo by acting as solubility enhancers."" Protein Sci 16(4);635-43. PMID: 17384228 //  Tsuchiya D, Shimizu N, Tomita M (2009). ""Cooperativity of two active sites in bacterial homodimeric aconitases."" Biochem Biophys Res Commun 379(2);485-8. PMID: 19116142 //  Williams CH, Stillman TJ, Barynin VV, Sedelnikova SE, Tang Y, Green J, Guest JR, Artymiuk PJ (2002). ""E. coli aconitase B structure reveals a HEAT-like domain with implications for protein-protein recognition."" Nat Struct Biol 9(6);447-52. PMID: 11992126 //  Jordan PA, Tang Y, Bradbury AJ, Thomson AJ, Guest JR (1999). ""Biochemical and spectroscopic characterization of Escherichia coli aconitases (AcnA and AcnB)."" Biochem J 344 Pt 3;739-46. PMID: 10585860 //  Masse E, Vanderpool CK, Gottesman S (2005). ""Effect of RyhB small RNA on global iron use in Escherichia coli."" J Bacteriol 187(20);6962-71. PMID: 16199566 //  Diaz-Mejia JJ, Babu M, Emili A (2009). ""Computational and experimental approaches to chart the Escherichia coli cell-envelope-associated proteome and interactome."" FEMS Microbiol Rev 33(1);66-97. PMID: 19054114 //  Varghese S, Tang Y, Imlay JA (2003). ""Contrasting sensitivities of Escherichia coli aconitases A and B to oxidation and iron depletion."" J Bacteriol 185(1);221-30. PMID: 12486059 //  Gruer MJ, Bradbury AJ, Guest JR (1997). ""Construction and properties of aconitase mutants of Escherichia coli."" Microbiology 143 ( Pt 6);1837-46. PMID: 9202458 //  Gaudet P, Livstone MS, Lewis SE, Thomas PD (2011). ""Phylogenetic-based propagation of functional annotations within the Gene Ontology consortium."" Brief Bioinform 12(5);449-62. PMID: 21873635 //  Gruer MJ, Guest JR (1994). ""Two genetically-distinct and differentially-regulated aconitases (AcnA and AcnB) in Escherichia coli."" Microbiology 140 ( Pt 10);2531-41. PMID: 8000525 //  Kim D, Seo SW, Gao Y, Nam H, Guzman GI, Cho BK, Palsson BO (2018). ""Systems assessment of transcriptional regulation on central carbon metabolism by Cra and CRP."" Nucleic Acids Res 46(6);2901-2917. PMID: 29394395 //  Gruer MJ, Artymiuk PJ, Guest JR (1997). ""The aconitase family: three structural variations on a common theme."" Trends Biochem Sci 22(1);3-6. PMID: 9020582 //  Ishihama Y, Schmidt T, Rappsilber J, Mann M, Hartl FU, Kerner MJ, Frishman D (2008). ""Protein abundance profiling of the Escherichia coli cytosol."" BMC Genomics 9;102. PMID: 18304323 //  GOA, MGI (2001). ""Gene Ontology annotation based on Enzyme Commission mapping."" Genomics 74;121-128. //  UniProt-GOA (2012). ""Gene Ontology annotation based on UniPathway vocabulary mapping."" //  GO Central curators, GOA curators, Rhea curators (2020). ""Automatic Gene Ontology annotation based on Rhea mapping."" //  Gaudet P, Livstone M, Thomas P (2010). ""Annotation inferences using phylogenetic trees."" PMID: 19578431 //  GOA, DDB, FB, MGI, ZFIN (2001). ""Gene Ontology annotation through association of InterPro records with GO terms."" //  UniProt-GOA (2012). ""Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping, accompanied by conservative changes to GO terms applied by UniProt.""",acnB,acnB // argP // dnaA // cytR // glrR // cyaR // mgrR // ptrR // glnG // rstA // mqsA // btsR // rydC // rybB // mlrA // rcdA // bolA // csgD // sutR // asflhD // flhD // racR // ydaT // rcsA // hdfR // matA // yjjQ // oxyS // omrA // omrB // basR // qseB // mcaS // flhC // fliA // fliZ // torR // rutR // evgA // ydeO // alpA // phoB // gadW // lldR // csrA // sdiA // gadY // argR // stpA // bglJ // uhpA // deaD // uvrY // uhpU // rcsB // rprA // lrhA // slyA // leuO // dsrA // zraR // hupA // hupB // ryhB // fnrS // marR // rob // marA // micF // cpxR // ydiP // rpsA // fis // cspA // hns // sgrR // sgrS // adiY // gadX // micA // phoP // arrS // gadE // lrp // rpoN // nac // ompR // acrR // soxR // soxS // glaR // gcvA // gcvB // oxyR // fur // rseX // nsrR // ihfA // ihfB // fnr // arcA // arcZ // rpoS // rpoE // rpoH // cra // crp // dksA // lexA // rpoD
