"","name","group","log2FoldChange","timepoint","padj","sig_star","type","funcs","betweenness","alpha","degree","closeness","node_type","node_size"
"224","mntH","|s4|/|NC|",1.16863980458205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","mutY","|s4|/|NC|",0.160557557776752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","nadK","|s4|/|NC|",2.22601582550614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","nanY","|s4|/|NC|",0.500017062190059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","ompT","|s4|/|NC|",0.536649862459851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","oppA","|s4|/|NC|",0.283625444621235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","pfkA","|s4|/|NC|",2.41814201285577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","potA","|s4|/|NC|",1.08890800768128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","ppdC","|s4|/|NC|",1.22921882659129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","priB","|s4|/|NC|",0.681340146064853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","prmA","|s4|/|NC|",0.317594504295584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","radA","|s4|/|NC|",0.403833117082785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","rfbA","|s4|/|NC|",1.10243761633372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","rfbX","|s4|/|NC|",1.08006204505057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","rnlA","|s4|/|NC|",0.252906933504453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","rnlB","|s4|/|NC|",0.366582819496337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","rpe","|s4|/|NC|",0.746498842132796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","rsmJ","|s4|/|NC|",0.804387913357288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","srlD","|s4|/|NC|",0.353556436908809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","sthA","|s4|/|NC|",4.40181472003377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","tar","|s4|/|NC|",1.06257925447687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","thrC","|s4|/|NC|",0.498634174893373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","trpD","|s4|/|NC|",1.11982100934692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","waaO","|s4|/|NC|",1.11167549608405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","waaY","|s4|/|NC|",1.08970390303709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","wbbH","|s4|/|NC|",4.60941012539905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","wbbK","|s4|/|NC|",3.13433850394668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","wzzB","|s4|/|NC|",1.18041882568409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","yajR","|s4|/|NC|",1.13258257996211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","ycfJ","|s4|/|NC|",0.258580007103776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","ychO","|s4|/|NC|",1.30802933342783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","ycjG","|s4|/|NC|",0.071220667378558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","ydhQ","|s4|/|NC|",0.590154557644938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","yeeZ","|s4|/|NC|",0.568937270361074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","yfcA","|s4|/|NC|",1.09023445501362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","yfcG","|s4|/|NC|",0.592268795472473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","yfdY","|s4|/|NC|",0.699725999157493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","yffS","|s4|/|NC|",0.153738581879832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","yfgM","|s4|/|NC|",1.71184472821336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","yfiF","|s4|/|NC|",0.484863938474699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","yfjW","|s4|/|NC|",1.07892610434918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","ygiS","|s4|/|NC|",1.10741669158691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","yhdP","|s4|/|NC|",1.07883863867902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","yhjE","|s4|/|NC|",1.31635382930805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","yigI","|s4|/|NC|",1.1132788033394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","yohC","|s4|/|NC|",0.547273699198841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","yqiA","|s4|/|NC|",0.735372513508132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","zupT","|s4|/|NC|",2.2354859825756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
