"","from","to","weight","type","edge_color","edge_type"
"125",132,151,0.990363297977611,"document_document","gray",NA
"126",131,152,0.990363297977611,"document_document","gray",NA
"127",132,152,0.990363297977611,"document_document","gray",NA
"128",151,152,1,"document_document","gray",NA
"129",153,154,1,"document_document","gray",NA
"130",147,155,0.997174648937912,"document_document","gray",NA
"131",148,155,0.997174648937912,"document_document","gray",NA
"132",151,155,0.994816852546436,"document_document","gray",NA
"133",152,155,0.994816852546436,"document_document","gray",NA
"134",147,156,0.997174648937912,"document_document","gray",NA
"135",148,156,0.997174648937912,"document_document","gray",NA
"136",151,156,0.994816852546436,"document_document","gray",NA
"137",152,156,0.994816852546436,"document_document","gray",NA
"138",155,156,1,"document_document","gray",NA
"139",157,158,1,"document_document","gray",NA
"140",159,160,1,"document_document","gray",NA
"141",161,162,1,"document_document","gray",NA
"142",163,164,1,"document_document","gray",NA
"143",65,165,0.99226404243812,"document_document","gray",NA
"144",66,165,0.99226404243812,"document_document","gray",NA
"145",129,165,0.990659012729963,"document_document","gray",NA
"146",130,165,0.990659012729963,"document_document","gray",NA
"147",151,165,0.996544568370043,"document_document","gray",NA
"148",152,165,0.996544568370043,"document_document","gray",NA
"149",65,166,0.99226404243812,"document_document","gray",NA
"150",66,166,0.99226404243812,"document_document","gray",NA
"151",129,166,0.990659012729963,"document_document","gray",NA
"152",130,166,0.990659012729963,"document_document","gray",NA
"153",151,166,0.996544568370043,"document_document","gray",NA
"154",152,166,0.996544568370043,"document_document","gray",NA
"155",165,166,1,"document_document","gray",NA
"156",167,168,1,"document_document","gray",NA
"157",135,169,0.992160365324083,"document_document","gray",NA
"158",136,169,0.992160365324083,"document_document","gray",NA
"159",135,170,0.992160365324083,"document_document","gray",NA
"160",136,170,0.992160365324083,"document_document","gray",NA
"161",169,170,1,"document_document","gray",NA
"162",171,172,1,"document_document","gray",NA
"163",173,174,1,"document_document","gray",NA
"164",175,177,0.110508630661457,"topic_topic","red",NA
"165",176,177,0.258171931375281,"topic_topic","red",NA
"166",178,180,0.113788078190765,"topic_topic","red",NA
"167",182,183,0.105368509601166,"topic_topic","red",NA
"168",5,175,0.25974025974026,"topic_document","blue",NA
"169",6,175,0.25974025974026,"topic_document","blue",NA
"170",49,175,0.103896103896104,"topic_document","blue",NA
"171",50,175,0.103896103896104,"topic_document","blue",NA
"172",51,175,0.103896103896104,"topic_document","blue",NA
"173",52,175,0.103896103896104,"topic_document","blue",NA
"174",67,175,0.126760563380282,"topic_document","blue",NA
"175",68,175,0.126760563380282,"topic_document","blue",NA
"176",71,175,0.126760563380282,"topic_document","blue",NA
"177",72,175,0.126760563380282,"topic_document","blue",NA
