"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"asr",0,NA,NA,NA,NA,NA
"astA",0,NA,NA,NA,NA,NA
"astB",0,NA,NA,NA,NA,NA
"astC",0,NA,NA,NA,NA,NA
"astD",0,NA,NA,NA,NA,NA
"astE",0,NA,NA,NA,NA,NA
"atoA",0,NA,NA,NA,NA,NA
"atoB",0,NA,NA,NA,NA,NA
"atoC",0,NA,NA,NA,NA,NA
"atoD",0,NA,NA,NA,NA,NA
"atoE",0,NA,NA,NA,NA,NA
"atoS",0,NA,NA,NA,NA,NA
"atpA",0,NA,NA,NA,NA,NA
"atpB",0,NA,NA,NA,NA,NA
"atpC",0,NA,NA,NA,NA,NA
"atpD",0,NA,NA,NA,NA,NA
"atpE",0,NA,NA,NA,NA,NA
"atpF",0,NA,NA,NA,NA,NA
"atpG",0,NA,NA,NA,NA,NA
"atpH",0,NA,NA,NA,NA,NA
"atpI",0,NA,NA,NA,NA,NA
"avtA",0,NA,NA,NA,NA,NA
"azoR",0,NA,NA,NA,NA,NA
"azuC",0,NA,NA,NA,NA,NA
"bacA",0,NA,NA,NA,NA,NA
"baeR",0,NA,NA,NA,NA,NA
"baeS",0,NA,NA,NA,NA,NA
"bamA",0,NA,NA,NA,NA,NA
"bamB",0,NA,NA,NA,NA,NA
"bamC",0,NA,NA,NA,NA,NA
"bamD",0,NA,NA,NA,NA,NA
"bamE",0,NA,NA,NA,NA,NA
"barA",0,NA,NA,NA,NA,NA
"basR",0,NA,NA,NA,NA,NA
"basS",0,NA,NA,NA,NA,NA
"bax",0.756424797847821,-2.0002964168475,2.51877211923078,-0.794155374984211,0.427104983773107,0.64897770261628
"baxL",0,NA,NA,NA,NA,NA
"bcp",0,NA,NA,NA,NA,NA
"bcr",0,NA,NA,NA,NA,NA
"bcsA",0,NA,NA,NA,NA,NA
"bcsB",0,NA,NA,NA,NA,NA
"bcsC",0,NA,NA,NA,NA,NA
"bcsE",0,NA,NA,NA,NA,NA
"bcsF",0,NA,NA,NA,NA,NA
"bcsG",4.03538413131934,-1.62748039399721,2.98403462943391,-0.545395947467927,0.585481227040241,0.796526785624514
"bcsQ",0,NA,NA,NA,NA,NA
"bcsZ",0,NA,NA,NA,NA,NA
"bdcA",0,NA,NA,NA,NA,NA
"bdcR",0,NA,NA,NA,NA,NA
"bdm",0,NA,NA,NA,NA,NA
"beeE",0,NA,NA,NA,NA,NA
"bepA",0,NA,NA,NA,NA,NA
"betA",0,NA,NA,NA,NA,NA
"betB",0,NA,NA,NA,NA,NA
"betI",0,NA,NA,NA,NA,NA
"betT",0,NA,NA,NA,NA,NA
"bfd",0,NA,NA,NA,NA,NA
"bfr",0,NA,NA,NA,NA,NA
"bglA",0,NA,NA,NA,NA,NA
"bglB",0,NA,NA,NA,NA,NA
"bglF",0,NA,NA,NA,NA,NA
"bglG",0,NA,NA,NA,NA,NA
"bglH",0,NA,NA,NA,NA,NA
"bglJ",0,NA,NA,NA,NA,NA
"bglX",0,NA,NA,NA,NA,NA
"bhsA",0,NA,NA,NA,NA,NA
"bhsB",0,NA,NA,NA,NA,NA
"bidA",0,NA,NA,NA,NA,NA
"bioA",0,NA,NA,NA,NA,NA
"bioB",0,NA,NA,NA,NA,NA
"bioC",0,NA,NA,NA,NA,NA
"bioD",0,NA,NA,NA,NA,NA
"bioF",0,NA,NA,NA,NA,NA
"bioH",0,NA,NA,NA,NA,NA
"bioP",0,NA,NA,NA,NA,NA
"bipA",0,NA,NA,NA,NA,NA
"birA",0,NA,NA,NA,NA,NA
"bisC",0,NA,NA,NA,NA,NA
"blc",0,NA,NA,NA,NA,NA
"blr",0,NA,NA,NA,NA,NA
"bluF",0,NA,NA,NA,NA,NA
"bluR",0,NA,NA,NA,NA,NA
"bolA",0,NA,NA,NA,NA,NA
"borD",0,NA,NA,NA,NA,NA
"brnQ",0,NA,NA,NA,NA,NA
"bsmA",0,NA,NA,NA,NA,NA
"bssR",0,NA,NA,NA,NA,NA
"bssS",0,NA,NA,NA,NA,NA
"btsR",0,NA,NA,NA,NA,NA
"btsS",0,NA,NA,NA,NA,NA
"btsT",0,NA,NA,NA,NA,NA
"btuB",0,NA,NA,NA,NA,NA
"btuC",5.42478151385955,0.75106183359545,1.63988281540238,0.457997258426762,0.646954410924405,0.83639410031111
"btuD",0,NA,NA,NA,NA,NA
"btuE",0,NA,NA,NA,NA,NA
"btuF",0,NA,NA,NA,NA,NA
"btuR",0,NA,NA,NA,NA,NA
"cadA",0,NA,NA,NA,NA,NA
"cadB",0,NA,NA,NA,NA,NA
"cadC",0,NA,NA,NA,NA,NA
"caiA",0,NA,NA,NA,NA,NA
"caiB",0,NA,NA,NA,NA,NA
"caiC",0,NA,NA,NA,NA,NA
"caiD",0,NA,NA,NA,NA,NA
"caiE",0,NA,NA,NA,NA,NA
"caiF",0,NA,NA,NA,NA,NA
"caiT",0,NA,NA,NA,NA,NA
"can",0,NA,NA,NA,NA,NA
"carA",0,NA,NA,NA,NA,NA
"carB",0,NA,NA,NA,NA,NA
"cas1",0,NA,NA,NA,NA,NA
"cas2",0,NA,NA,NA,NA,NA
"cas3",0,NA,NA,NA,NA,NA
"casA",0,NA,NA,NA,NA,NA
"casB",0,NA,NA,NA,NA,NA
"casC",0,NA,NA,NA,NA,NA
"casD",0,NA,NA,NA,NA,NA
"casE",0,NA,NA,NA,NA,NA
"cbeA",0,NA,NA,NA,NA,NA
"cbl",0,NA,NA,NA,NA,NA
"cbpA",0,NA,NA,NA,NA,NA
"cbpM",0,NA,NA,NA,NA,NA
"cbrA",0,NA,NA,NA,NA,NA
"cbrB",0,NA,NA,NA,NA,NA
"cbrC",64.6190335890654,0.577675243046632,0.171345531358001,3.37140536125023,0.000747857286522951,0.00236484601414014
"cbtA",0,NA,NA,NA,NA,NA
"cca",0,NA,NA,NA,NA,NA
"ccmA",0,NA,NA,NA,NA,NA
"ccmB",0,NA,NA,NA,NA,NA
"ccmC",0,NA,NA,NA,NA,NA
"ccmD",0,NA,NA,NA,NA,NA
"ccmE",0,NA,NA,NA,NA,NA
"ccmF",0,NA,NA,NA,NA,NA
"ccmG",0,NA,NA,NA,NA,NA
"ccmH",0,NA,NA,NA,NA,NA
"ccp",0,NA,NA,NA,NA,NA
"cdaR",0,NA,NA,NA,NA,NA
"cdd",0,NA,NA,NA,NA,NA
"cdgI",0,NA,NA,NA,NA,NA
"cdh",0,NA,NA,NA,NA,NA
"cdsA",0,NA,NA,NA,NA,NA
"cecR",0,NA,NA,NA,NA,NA
"cedA",0,NA,NA,NA,NA,NA
"cfa",0,NA,NA,NA,NA,NA
"chaA",0,NA,NA,NA,NA,NA
"chaB",0,NA,NA,NA,NA,NA
"chaC",0,NA,NA,NA,NA,NA
"chbA",0,NA,NA,NA,NA,NA
"chbB",0,NA,NA,NA,NA,NA
"chbC",0,NA,NA,NA,NA,NA
"chbF",0,NA,NA,NA,NA,NA
"chbG",0,NA,NA,NA,NA,NA
"chbR",0,NA,NA,NA,NA,NA
"cheA",0,NA,NA,NA,NA,NA
"cheB",0,NA,NA,NA,NA,NA
"cheR",0,NA,NA,NA,NA,NA
"cheW",0,NA,NA,NA,NA,NA
"cheY",0,NA,NA,NA,NA,NA
"cheZ",0,NA,NA,NA,NA,NA
"chiA",0,NA,NA,NA,NA,NA
"chiP",0,NA,NA,NA,NA,NA
"chiQ",0,NA,NA,NA,NA,NA
"chiX",0,NA,NA,NA,NA,NA
"chiZ",0,NA,NA,NA,NA,NA
"cho",0,NA,NA,NA,NA,NA
"chpB",0,NA,NA,NA,NA,NA
"chpS",0,NA,NA,NA,NA,NA
"cirA",0,NA,NA,NA,NA,NA
"citC",0,NA,NA,NA,NA,NA
"citD",0,NA,NA,NA,NA,NA
"citE",0,NA,NA,NA,NA,NA
"citF",0,NA,NA,NA,NA,NA
"citG",0,NA,NA,NA,NA,NA
"citT",0,NA,NA,NA,NA,NA
"citX",0,NA,NA,NA,NA,NA
"clcA",0,NA,NA,NA,NA,NA
"clcB",0.802278787682873,-3.85021816069028,3.4600499256981,-1.11276375872336,0.265809904163041,0.493646964874218
"clpA",0,NA,NA,NA,NA,NA
"clpB",0,NA,NA,NA,NA,NA
"clpP",0,NA,NA,NA,NA,NA
"clpS",1.1358680899045,2.93127430589518,2.21536750463763,1.32315487148695,0.185783880120578,0.359284528497647
"clpX",0,NA,NA,NA,NA,NA
"clsA",0,NA,NA,NA,NA,NA
"clsB",0,NA,NA,NA,NA,NA
"clsC",0,NA,NA,NA,NA,NA
"cmk",0,NA,NA,NA,NA,NA
"cmoA",0,NA,NA,NA,NA,NA
"cmoB",0,NA,NA,NA,NA,NA
"cmoM",0,NA,NA,NA,NA,NA
"cmtA",0,NA,NA,NA,NA,NA
"cmtB",0,NA,NA,NA,NA,NA
"cnoX",0,NA,NA,NA,NA,NA
"cnu",0,NA,NA,NA,NA,NA
"coaA",0,NA,NA,NA,NA,NA
"coaD",0,NA,NA,NA,NA,NA
"coaE",0,NA,NA,NA,NA,NA
"cobB",0,NA,NA,NA,NA,NA
"cobC",0,NA,NA,NA,NA,NA
"cobS",0,NA,NA,NA,NA,NA
"cobT",0,NA,NA,NA,NA,NA
"cobU",0,NA,NA,NA,NA,NA
"codA",0,NA,NA,NA,NA,NA
"codB",0,NA,NA,NA,NA,NA
"cof",0,NA,NA,NA,NA,NA
"comR",0,NA,NA,NA,NA,NA
"copA",0,NA,NA,NA,NA,NA
"corA",0,NA,NA,NA,NA,NA
"cpdA",0,NA,NA,NA,NA,NA
"cpdB",0,NA,NA,NA,NA,NA
"cpoB",0,NA,NA,NA,NA,NA
"cpsB",0,NA,NA,NA,NA,NA
"cpsG",0,NA,NA,NA,NA,NA
"cpxA",0,NA,NA,NA,NA,NA
"cpxP",0,NA,NA,NA,NA,NA
"cpxQ",0,NA,NA,NA,NA,NA
"cpxR",0,NA,NA,NA,NA,NA
"cra",0,NA,NA,NA,NA,NA
"crcB",0,NA,NA,NA,NA,NA
"creA",0,NA,NA,NA,NA,NA
"creB",0,NA,NA,NA,NA,NA
"creC",0,NA,NA,NA,NA,NA
"creD",0,NA,NA,NA,NA,NA
"crl",0,NA,NA,NA,NA,NA
"crp",0,NA,NA,NA,NA,NA
"crr",0,NA,NA,NA,NA,NA
"cryptic",0.211696944268501,-2.14062266241716,3.5338115409304,-0.605754618666949,0.544677708925566,0.7541691354354
"csdA",0,NA,NA,NA,NA,NA
"csdE",0,NA,NA,NA,NA,NA
"csgA",0,NA,NA,NA,NA,NA
"csgB",0,NA,NA,NA,NA,NA
"csgC",0,NA,NA,NA,NA,NA
"csgD",0,NA,NA,NA,NA,NA
"csgE",0,NA,NA,NA,NA,NA
"csgF",0,NA,NA,NA,NA,NA
"csgG",0,NA,NA,NA,NA,NA
"csiE",0,NA,NA,NA,NA,NA
"cspA",0,NA,NA,NA,NA,NA
"cspB",0,NA,NA,NA,NA,NA
"cspC",0,NA,NA,NA,NA,NA
"cspD",0,NA,NA,NA,NA,NA
"cspE",0,NA,NA,NA,NA,NA
"cspF",0,NA,NA,NA,NA,NA
"cspG",0,NA,NA,NA,NA,NA
"cspH",0,NA,NA,NA,NA,NA
"cspI",0,NA,NA,NA,NA,NA
"csqR",0,NA,NA,NA,NA,NA
"csrA",0,NA,NA,NA,NA,NA
"csrB",0,NA,NA,NA,NA,NA
"csrC",0,NA,NA,NA,NA,NA
"csrD",0,NA,NA,NA,NA,NA
"cstA",0,NA,NA,NA,NA,NA
"cueO",0,NA,NA,NA,NA,NA
"cueR",0,NA,NA,NA,NA,NA
"curA",145.375951402077,-0.8731597364719,0.13762033233268,-6.34470010115325,2.2285914892317e-10,1.3723431802111e-09
"cusA",0,NA,NA,NA,NA,NA
"cusB",0,NA,NA,NA,NA,NA
"cusC",0,NA,NA,NA,NA,NA
"cusF",0,NA,NA,NA,NA,NA
"cusR",0,NA,NA,NA,NA,NA
"cusS",0,NA,NA,NA,NA,NA
"cutA",0,NA,NA,NA,NA,NA
"cutC",0,NA,NA,NA,NA,NA
"cvpA",0,NA,NA,NA,NA,NA
"cvrA",0,NA,NA,NA,NA,NA
"cyaA",0,NA,NA,NA,NA,NA
"cyaR",0,NA,NA,NA,NA,NA
"cyaY",0,NA,NA,NA,NA,NA
"cybB",0,NA,NA,NA,NA,NA
"cybC",0,NA,NA,NA,NA,NA
"cycA",112.131276842347,0.0095781639691262,0.126205850046443,0.075893185344431,0.939504078531867,0.981446224894897
"cydA",0,NA,NA,NA,NA,NA
"cydB",0,NA,NA,NA,NA,NA
"cydC",31.4643503020334,-0.564373971635652,0.231651283843131,-2.4363084126822,0.0148380273580005,0.0365484042291803
"cydD",0,NA,NA,NA,NA,NA
"cydH",0,NA,NA,NA,NA,NA
"cydX",0,NA,NA,NA,NA,NA
"cynR",0,NA,NA,NA,NA,NA
"cynS",0,NA,NA,NA,NA,NA
"cynT",0,NA,NA,NA,NA,NA
"cynX",0,NA,NA,NA,NA,NA
"cyoA",513.109670382786,0.555452348739911,0.067952163533525,8.17416723554168,2.97916354912364e-16,2.40387679481011e-15
"cyoB",0,NA,NA,NA,NA,NA
"cyoC",0,NA,NA,NA,NA,NA
"cyoD",0,NA,NA,NA,NA,NA
"cyoE",0,NA,NA,NA,NA,NA
"cysA",0,NA,NA,NA,NA,NA
"cysB",0,NA,NA,NA,NA,NA
"cysC",0,NA,NA,NA,NA,NA
"cysD",0,NA,NA,NA,NA,NA
"cysE",0,NA,NA,NA,NA,NA
"cysG",0,NA,NA,NA,NA,NA
"cysH",0,NA,NA,NA,NA,NA
"cysI",0,NA,NA,NA,NA,NA
"cysJ",0,NA,NA,NA,NA,NA
"cysK",0,NA,NA,NA,NA,NA
"cysM",0,NA,NA,NA,NA,NA
"cysN",0,NA,NA,NA,NA,NA
"cysP",0,NA,NA,NA,NA,NA
"cysQ",0,NA,NA,NA,NA,NA
"cysS",0,NA,NA,NA,NA,NA
"cysT",0.42797419916043,-0.111084014661797,2.4218899157852,-0.0458666655068763,0.963416523273709,0.995017067809714
"cysU",0,NA,NA,NA,NA,NA
"cysW",0,NA,NA,NA,NA,NA
"cysZ",0,NA,NA,NA,NA,NA
"cytR",0,NA,NA,NA,NA,NA
"cyuA",0,NA,NA,NA,NA,NA
"cyuP",0,NA,NA,NA,NA,NA
"dacA",0,NA,NA,NA,NA,NA
"dacB",0,NA,NA,NA,NA,NA
"dacC",0,NA,NA,NA,NA,NA
"dacD",0,NA,NA,NA,NA,NA
"dadA",0,NA,NA,NA,NA,NA
"dadX",0,NA,NA,NA,NA,NA
"dam",0,NA,NA,NA,NA,NA
"damX",0,NA,NA,NA,NA,NA
"dapA",0,NA,NA,NA,NA,NA
"dapB",0,NA,NA,NA,NA,NA
"dapD",0,NA,NA,NA,NA,NA
"dapE",0,NA,NA,NA,NA,NA
"dapF",0,NA,NA,NA,NA,NA
"dauA",0.605409574188566,2.02351466416617,3.42159668281889,0.591394852095513,0.554255888831968,0.762916929333415
"dbpA",0,NA,NA,NA,NA,NA
"dcd",0,NA,NA,NA,NA,NA
"dcm",0,NA,NA,NA,NA,NA
"dcp",0,NA,NA,NA,NA,NA
"dcrB",0,NA,NA,NA,NA,NA
"dctA",0,NA,NA,NA,NA,NA
"dctR",0,NA,NA,NA,NA,NA
"dcuA",0,NA,NA,NA,NA,NA
"dcuB",0,NA,NA,NA,NA,NA
"dcuC",0,NA,NA,NA,NA,NA
"dcuD",0,NA,NA,NA,NA,NA
"dcuR",0,NA,NA,NA,NA,NA
"dcuS",0,NA,NA,NA,NA,NA
"dcyD",28.3707887582342,0.164417572359706,0.284840295502106,0.577227221555421,0.563785970322517,0.771496590967654
"ddlA",0,NA,NA,NA,NA,NA
"ddlB",0,NA,NA,NA,NA,NA
